Efficiency_ID,Project_ID,Metric,Description,Data,Test_Location,Temperature_Range,Traffic_Density,Noise_Level,Material_Used,Installation_Technique,Maintenance_Frequency,Efficiency_Variation,Road_Condition
1,100,Efficiency,Description for Efficiency metric 0,Unknown,UK,20 to 30,1439,61.876156899317486,BaTiO3,Embedded,Quarterly,0.196752532448371,Poor
2,49,Durability,Description for Durability metric 1,Medium,Canada,-10 to 0,2064,63.565305062923315,BaTiO3,Embedded,Monthly,0.07934856769899482,Average
3,100,Efficiency,Description for Efficiency metric 2,Low,Germany,-10 to 0,1278,62.90296062692036,PZT,Surface-Mounted,Monthly,0.14077604471612337,Good
4,90,Efficiency,Description for Efficiency metric 3,High,Italy,0 to 10,3804,76.61601641292805,PZT,Embedded,Annually,0.1294319310631034,Average
5,70,Durability,Description for Durability metric 4,Unknown,Japan,0 to 10,2777,85.15945080078322,PZT,Surface-Mounted,Quarterly,0.12715193462605368,Average
6,66,Efficiency,Description for Efficiency metric 5,Unknown,USA,0 to 10,4829,97.4639950021571,PZT,Embedded,Annually,0.06365855325619303,Poor
7,100,Durability,Description for Durability metric 6,Unknown,Japan,30 to 40,516,84.70436875414899,PZT,Surface-Mounted,Quarterly,0.20806094267000202,Average
8,72,Efficiency,Description for Efficiency metric 7,Low,UK,10 to 20,1922,89.05964219811953,PVDF,Surface-Mounted,Monthly,0.05098582533243654,Poor
9,2,Durability,Description for Durability metric 8,Unknown,UK,0 to 10,3499,58.446305793228284,BaTiO3,Embedded,Quarterly,0.08265273140702295,Poor
10,2,Durability,Description for Durability metric 9,Low,France,30 to 40,4292,68.70313125036628,BaTiO3,Surface-Mounted,Annually,0.18936546622713601,Average
11,72,Durability,Description for Durability metric 10,Medium,Italy,-10 to 0,1825,70.6890109929133,PVDF,Surface-Mounted,Quarterly,0.09548627636821241,Average
12,26,Durability,Description for Durability metric 11,High,South Korea,10 to 20,613,84.31901150002365,PVDF,Surface-Mounted,Monthly,0.2194034688272054,Average
