Project_ID,Project_Type,Location,Description,Power_Output_KWh_Per_Year,Notes,Project_Start_Year,Traffic_Volume,Road_Type,Implementation_Cost,Expected_Lifespan,Maintenance_Cost,Average_Speed,Road_Length,Vehicle_Type
1,Pilot Project,Israel,Description of project 0,363612.1357804047,Notes for project 0,2016,2053,Rural Road,8263205.523883909,7,91708.80349188935,58.3524929307865,8.598114653977216,Heavy Vehicles
2,Research Study,South Korea,Description of project 1,681777.7583228705,Notes for project 1,2022,3977,Urban Road,6760217.397694945,10,24420.741968812894,58.37615079939893,2.251654310337515,Heavy Vehicles
3,Research Study,South Korea,Description of project 2,794253.4055401565,Notes for project 2,2014,6491,Rural Road,4312921.617833806,19,69500.57603572895,52.47300930302518,4.842139241899663,Mixed
4,Pilot Project,UK,Description of project 3,119491.12206329124,Notes for project 3,2012,4893,Urban Road,3814779.6619617185,7,49623.73775465426,32.09652274333246,8.585693990519115,Light Vehicles
5,Research Study,South Korea,Description of project 4,110365.28383098143,Notes for project 4,2014,3679,Rural Road,8216525.35047819,7,16883.809212725686,81.60779698175341,8.362299751802546,Heavy Vehicles
6,Research Study,South Korea,Description of project 5,338020.59601291484,Notes for project 5,2016,5950,Urban Road,1634024.673497435,8,72681.68301872505,37.68491206437505,1.9217238260717475,Light Vehicles
7,Research Study,France,Description of project 6,510080.1454459352,Notes for project 6,2013,3665,Rural Road,7152156.643290379,7,32265.88799852383,72.44156931315595,2.407450139811667,Heavy Vehicles
8,Research Study,South Korea,Description of project 7,59253.83134398387,Notes for project 7,2020,4057,Rural Road,4426563.204933468,17,13565.397032156596,79.2252247527051,3.7377882243946705,Light Vehicles
9,Research Study,South Korea,Description of project 8,872996.7357764381,Notes for project 8,2013,7838,Rural Road,6705378.606861322,18,15394.986842461592,74.43504260535863,1.678231621750063,Mixed
10,Research Study,Australia,Description of project 9,309267.59999494284,Notes for project 9,2017,4968,Rural Road,9341911.805091623,14,15497.06833601086,97.13995763845824,4.8219670255653355,Mixed
11,Research Study,South Korea,Description of project 10,222498.53610989102,Notes for project 10,2018,1851,Highway,8685461.057847746,8,91695.96617365355,37.2308708559597,1.9685593463462372,Light Vehicles
12,Pilot Project,France,Description of project 11,152899.59728553012,Notes for project 11,2023,6028,Rural Road,5479101.8068208555,13,76589.5526046191,90.70170113736394,6.113958343028605,Mixed
13,Pilot Project,Canada,Description of project 12,114616.13654496128,Notes for project 12,2023,4793,Rural Road,4850509.409483251,10,90825.61214923616,32.043316439423926,3.219012458300405,Light Vehicles
14,Research Study,Italy,Description of project 13,886116.7499868074,Notes for project 13,2015,8316,Rural Road,8403035.062247308,9,70532.40801668692,67.44417984489587,6.3678975881466044,Mixed
15,Pilot Project,Italy,Description of project 14,256496.60700104208,Notes for project 14,2010,9053,Rural Road,7644039.226574538,10,57604.593612779485,58.29705325574811,2.0577307861327387,Mixed
16,Pilot Project,USA,Description of project 15,497209.5935969283,Notes for project 15,2018,8152,Highway,5024294.564462528,16,37400.17279126405,66.69287022756308,9.7829548157668,Light Vehicles
17,Pilot Project,Germany,Description of project 16,419695.769527535,Notes for project 16,2015,4331,Urban Road,9720127.369894924,6,99816.6026195806,55.556991394200686,9.393050834716064,Heavy Vehicles
18,Pilot Project,Italy,Description of project 17,116625.10752640564,Notes for project 17,2021,9318,Highway,4268451.320564018,16,42597.01530454504,43.339684045804766,4.526172447081992,Heavy Vehicles
19,Pilot Project,Israel,Description of project 18,336511.14524446375,Notes for project 18,2014,6930,Rural Road,4577801.424369706,19,52358.405429251856,31.338602821408283,3.179607347134769,Heavy Vehicles
20,Research Study,France,Description of project 19,438246.78137151065,Notes for project 19,2017,9769,Highway,7648143.932921014,17,44042.06574311156,66.2704869653822,3.253583915682155,Light Vehicles
21,Pilot Project,USA,Description of project 20,761791.9129134716,Notes for project 20,2022,6652,Highway,5041750.849311607,17,98157.42364019128,88.99438038793896,5.350541816821528,Heavy Vehicles
22,Research Study,Italy,Description of project 21,817043.5374622766,Notes for project 21,2023,1804,Rural Road,9435559.27525981,10,25719.25468555052,56.12511690213559,1.3599352171064527,Mixed
23,Research Study,USA,Description of project 22,62676.66393048204,Notes for project 22,2020,6444,Urban Road,3315101.36924254,13,39518.92008172717,45.600467261048614,6.7573459546761425,Heavy Vehicles
24,Pilot Project,Germany,Description of project 23,472234.4402636351,Notes for project 23,2020,4024,Rural Road,4435838.265126536,7,71231.37994135014,35.63724024302908,4.674726175057703,Mixed
25,Pilot Project,Japan,Description of project 24,175157.3363521947,Notes for project 24,2014,1112,Rural Road,7274274.551455192,14,15688.685650476758,35.97176461830924,4.396659153299986,Heavy Vehicles
26,Research Study,South Korea,Description of project 25,707774.387059861,Notes for project 25,2011,2967,Urban Road,9073630.941428293,18,64652.44366103869,45.497751240494054,8.284284743402786,Heavy Vehicles
27,Research Study,Japan,Description of project 26,782491.9671741686,Notes for project 26,2021,1650,Urban Road,2089538.9164097689,19,52988.18525887745,37.000984264508865,7.38131914164961,Light Vehicles
28,Research Study,USA,Description of project 27,387915.14966724545,Notes for project 27,2013,5333,Rural Road,3173911.1784456694,17,35559.997908589095,48.552778885513746,9.589004338534227,Mixed
29,Research Study,France,Description of project 28,151776.14937908546,Notes for project 28,2013,2384,Urban Road,3054372.4891033415,17,31457.19528316522,34.63046234818683,4.167426164461217,Mixed
30,Pilot Project,Japan,Description of project 29,58903.47518157422,Notes for project 29,2019,1063,Rural Road,5405583.959509235,14,56306.14689688811,34.59234070469479,9.07788488184465,Mixed
31,Research Study,USA,Description of project 30,884840.2150479185,Notes for project 30,2012,4999,Urban Road,9023704.097425805,10,43113.48224833372,89.93933257359473,7.9297046762507994,Heavy Vehicles
32,Pilot Project,Canada,Description of project 31,354762.9531814317,Notes for project 31,2015,4988,Rural Road,4222967.2760361,11,51086.79021363898,41.34841824961833,4.216821864352418,Heavy Vehicles
33,Research Study,Italy,Description of project 32,395465.5717178313,Notes for project 32,2012,3502,Highway,4467136.766949349,9,40372.964358781595,69.17776840764137,6.59498892807932,Light Vehicles
34,Pilot Project,Israel,Description of project 33,74011.66009718637,Notes for project 33,2013,4516,Urban Road,9250543.173971638,5,97344.43242363798,84.14188811143214,3.59712961886526,Light Vehicles
35,Research Study,USA,Description of project 34,347981.612449167,Notes for project 34,2015,3671,Urban Road,2024349.7635087506,13,22009.54885710436,61.94866957373466,8.86959925367358,Light Vehicles
36,Research Study,Japan,Description of project 35,44466.33714846452,Notes for project 35,2020,3387,Rural Road,6680129.874139518,15,18712.35578605368,40.7358214501542,2.0118458549108014,Heavy Vehicles
37,Pilot Project,Canada,Description of project 36,230745.83180391224,Notes for project 36,2021,6394,Rural Road,2195334.988918245,19,40905.255591182446,43.971729948408004,2.911909251646369,Light Vehicles
38,Research Study,Japan,Description of project 37,695473.1781272658,Notes for project 37,2017,4441,Highway,4368201.2287427895,10,63192.42107834421,60.308894439682646,2.6472996287192903,Mixed
39,Research Study,Israel,Description of project 38,851387.4619088455,Notes for project 38,2022,9010,Rural Road,3919643.77268474,10,69325.88246650255,66.97638624249751,4.627234021638598,Light Vehicles
40,Pilot Project,Japan,Description of project 39,682499.3464299873,Notes for project 39,2022,2963,Urban Road,7121039.838643856,10,45753.107245123785,54.46082044339744,7.707096640289162,Heavy Vehicles
41,Pilot Project,France,Description of project 40,325281.32292108116,Notes for project 40,2012,6763,Rural Road,8159812.715252324,16,99935.0194529954,84.70357201642629,5.742167041469623,Light Vehicles
42,Research Study,France,Description of project 41,455907.5750952515,Notes for project 41,2023,3956,Highway,5535402.50691492,6,41670.369657373834,82.5715154199479,5.389086911843868,Mixed
43,Pilot Project,Japan,Description of project 42,324917.0515984071,Notes for project 42,2017,8396,Urban Road,3666181.4953402844,5,74926.60011639571,94.90482651611825,1.0049136840729609,Mixed
44,Research Study,France,Description of project 43,186156.52699853445,Notes for project 43,2011,4898,Rural Road,8973660.421019062,5,67382.44250777137,32.026678431887234,4.828615528195492,Mixed
45,Research Study,South Korea,Description of project 44,178758.3408543244,Notes for project 44,2016,4969,Highway,4166835.0483453,5,83174.84769227146,92.69839038471423,1.571983973525426,Heavy Vehicles
46,Research Study,Germany,Description of project 45,433202.3503245002,Notes for project 45,2020,8296,Rural Road,7645513.0392425135,5,97860.3097108438,57.47981519235057,2.8742792690933543,Mixed
47,Research Study,Japan,Description of project 46,790878.473151147,Notes for project 46,2015,5903,Urban Road,5998251.367235574,19,90081.42908009862,91.48607467659959,9.391545450644449,Light Vehicles
48,Research Study,Israel,Description of project 47,851384.1832982802,Notes for project 47,2010,9890,Rural Road,2813659.419908965,15,78810.57769219376,78.35493433095706,2.938583839089144,Light Vehicles
49,Pilot Project,Germany,Description of project 48,559179.9932929913,Notes for project 48,2021,1292,Urban Road,5936671.866518293,17,72842.36300364615,99.11441299517777,8.725038747708362,Mixed
50,Research Study,South Korea,Description of project 49,549090.2034766963,Notes for project 49,2010,5099,Highway,5676785.465045922,18,40194.83527083097,83.14977162016677,8.226040344052008,Heavy Vehicles
51,Pilot Project,UK,Description of project 50,711770.493412643,Notes for project 50,2020,6346,Highway,4139043.977535395,5,23291.70203860366,55.51812381977506,2.4323161324801856,Mixed
52,Research Study,Australia,Description of project 51,465022.8790244922,Notes for project 51,2022,8033,Urban Road,1221579.6135081013,18,15637.24027538288,65.07442209843265,6.451407615432509,Light Vehicles
53,Research Study,Japan,Description of project 52,73821.94937906311,Notes for project 52,2013,5776,Highway,2339463.730988577,15,31771.153378133633,56.34724086360458,2.04095684714512,Light Vehicles
54,Research Study,France,Description of project 53,638215.3250051046,Notes for project 53,2020,8452,Rural Road,2186668.343466573,12,48905.333306316876,55.54382852148667,7.550993425325603,Mixed
55,Research Study,USA,Description of project 54,893384.8670331103,Notes for project 54,2011,7980,Highway,7371257.164078914,11,56979.664626698424,48.26331495667418,6.737160496349859,Heavy Vehicles
56,Pilot Project,USA,Description of project 55,262518.4079568861,Notes for project 55,2020,5122,Urban Road,7381649.022086173,8,79577.51986493844,64.71792067614288,8.307447055219175,Light Vehicles
57,Research Study,UK,Description of project 56,620808.8355958501,Notes for project 56,2019,1736,Rural Road,6505735.729896621,10,96286.68307509337,77.72179615485528,5.3144609445026925,Heavy Vehicles
58,Pilot Project,USA,Description of project 57,781924.8551370328,Notes for project 57,2022,5461,Highway,7047163.146519604,9,20558.843234632994,49.41381899136705,9.233767790500446,Mixed
59,Pilot Project,UK,Description of project 58,683234.4936967355,Notes for project 58,2023,2971,Rural Road,5027642.836849222,8,19630.37261744124,66.7065867754054,1.4441405210959575,Light Vehicles
60,Research Study,France,Description of project 59,869106.0979768048,Notes for project 59,2019,9389,Highway,7264694.520694046,9,63072.52507121957,38.216620591939005,3.635997085243132,Light Vehicles
61,Research Study,France,Description of project 60,512190.918523463,Notes for project 60,2016,2671,Highway,4404935.303606542,10,77085.82665525637,41.18917007979339,7.435473377186503,Light Vehicles
62,Pilot Project,Australia,Description of project 61,214779.73403456848,Notes for project 61,2016,1606,Urban Road,1900288.4436046511,17,86333.53423122864,33.27644482985321,4.762982905732008,Light Vehicles
63,Research Study,Australia,Description of project 62,223525.6052165323,Notes for project 62,2017,3120,Highway,9642311.059374161,17,94224.88721951097,97.9512009939443,2.5565621884404073,Light Vehicles
64,Pilot Project,Australia,Description of project 63,220311.9551509915,Notes for project 63,2018,7996,Urban Road,1651910.0271921759,15,98508.36180345778,30.270224605718276,1.9648967088569143,Light Vehicles
65,Research Study,Japan,Description of project 64,525528.9750800221,Notes for project 64,2023,2731,Highway,1173705.4580596392,6,45982.15230020733,42.500597764035945,8.356052003154593,Mixed
66,Pilot Project,France,Description of project 65,423334.86047908035,Notes for project 65,2018,8788,Rural Road,9816159.266780406,8,44230.16651748158,72.90067271818947,5.258286806190798,Light Vehicles
67,Pilot Project,Japan,Description of project 66,874105.9142936075,Notes for project 66,2017,4395,Highway,2336302.7895247466,17,23302.780902754515,35.695871919731374,8.940553047271965,Light Vehicles
68,Pilot Project,USA,Description of project 67,622073.8813377181,Notes for project 67,2010,7246,Rural Road,3328320.898643511,11,71644.09948152034,91.73275521677826,7.599602208850534,Mixed
69,Pilot Project,Australia,Description of project 68,104207.1422970695,Notes for project 68,2018,9020,Urban Road,2939759.3040809035,12,69108.57625967533,80.37341104896018,4.687535850676692,Light Vehicles
70,Pilot Project,Australia,Description of project 69,79083.94946115062,Notes for project 69,2016,9787,Highway,6219211.585586551,9,87585.63362660866,97.64729800065254,4.361599127401153,Light Vehicles
71,Research Study,France,Description of project 70,454418.8027922989,Notes for project 70,2018,6343,Rural Road,9781765.166259369,5,18753.219530887654,65.53448830685355,5.640745119861266,Mixed
72,Research Study,Australia,Description of project 71,796473.9691154571,Notes for project 71,2019,3304,Highway,3457080.1116451416,18,54799.92170428076,51.0282578210941,9.001539578707558,Light Vehicles
73,Pilot Project,Japan,Description of project 72,879471.816335947,Notes for project 72,2018,4419,Rural Road,9730675.664659007,5,62297.37367048568,68.465040095669,7.635507217427511,Light Vehicles
74,Pilot Project,Australia,Description of project 73,567362.3870034157,Notes for project 73,2013,2131,Highway,1229476.1407056535,12,31740.133603592658,95.15731021085813,1.046376678421209,Mixed
75,Pilot Project,South Korea,Description of project 74,501973.93425904575,Notes for project 74,2016,3003,Rural Road,8992393.348759394,15,25212.286551624515,66.45330060693024,7.24742066232213,Light Vehicles
76,Research Study,France,Description of project 75,773513.8148703215,Notes for project 75,2011,8644,Rural Road,7377479.54423299,17,87362.27527776593,48.704492230362305,9.275566662152386,Mixed
77,Research Study,USA,Description of project 76,677136.0544195153,Notes for project 76,2017,2707,Highway,3499963.0626835944,8,15268.14300120029,91.41791524218837,7.394101835540424,Light Vehicles
78,Pilot Project,South Korea,Description of project 77,446378.80328831257,Notes for project 77,2014,9192,Highway,9053768.729602799,18,52355.88135262656,56.03431239587229,2.593052034107463,Light Vehicles
79,Research Study,France,Description of project 78,619060.9694035642,Notes for project 78,2019,8528,Rural Road,1238702.9733907816,8,20425.060117079673,30.09683449992994,5.3516631468471285,Mixed
80,Pilot Project,UK,Description of project 79,558129.2031713129,Notes for project 79,2012,1691,Urban Road,6630729.556095355,5,51135.288519823065,47.33795157446212,2.262844161310775,Heavy Vehicles
81,Pilot Project,Israel,Description of project 80,651786.3345265007,Notes for project 80,2022,3547,Urban Road,3965884.3973087426,5,98196.60937080784,52.27634564239437,4.230957505056688,Mixed
82,Research Study,Australia,Description of project 81,438462.54928931873,Notes for project 81,2010,3683,Urban Road,9704090.176231168,14,48133.57181099255,90.11442277623314,9.434053377464659,Heavy Vehicles
83,Pilot Project,USA,Description of project 82,426732.7221995445,Notes for project 82,2018,9535,Urban Road,2517187.6433358537,9,87141.24257541106,62.09522169465115,9.309747768028375,Heavy Vehicles
84,Research Study,Australia,Description of project 83,818583.7357423488,Notes for project 83,2012,7995,Highway,9113346.876820792,9,20558.400776487448,61.121110146791054,3.5455316695847463,Light Vehicles
85,Research Study,Italy,Description of project 84,149381.7654845593,Notes for project 84,2023,7862,Rural Road,3969420.857840922,10,34412.686908567775,53.52715864799212,4.056679397495793,Mixed
86,Research Study,Israel,Description of project 85,229420.81108532412,Notes for project 85,2017,7176,Urban Road,9003099.895579003,13,46341.3466600601,91.64746861329557,6.401915813181645,Heavy Vehicles
87,Research Study,USA,Description of project 86,796979.2973132053,Notes for project 86,2018,7598,Urban Road,5612064.928831784,19,45983.092600839766,96.1518743858274,9.66877565734342,Heavy Vehicles
88,Research Study,Israel,Description of project 87,816849.7288496314,Notes for project 87,2014,6985,Urban Road,5595660.1624256205,13,70424.51308031377,99.43232304082406,2.3302120065885137,Heavy Vehicles
89,Research Study,UK,Description of project 88,591832.6006966523,Notes for project 88,2014,5524,Urban Road,4481444.382105993,5,41024.63146379569,56.37188868726908,3.312249793180022,Heavy Vehicles
90,Pilot Project,Italy,Description of project 89,312474.18569782487,Notes for project 89,2022,1827,Rural Road,5770800.423633007,6,74239.01815690147,97.63032119390199,8.862011445616943,Mixed
91,Research Study,France,Description of project 90,482148.7384827003,Notes for project 90,2011,7834,Highway,9502367.328068282,10,67526.82093028532,85.4315698741631,5.427030085375101,Light Vehicles
92,Research Study,Germany,Description of project 91,30048.160472557458,Notes for project 91,2017,4204,Rural Road,9035760.22270555,14,45924.503072929576,77.29824033509868,9.090649830043285,Light Vehicles
